"Applicable if the company is SpA, SApA or SRL",如果公司是SpA，SApA或SRL，则适用,
Applicable if the company is a limited liability company,适用于公司是有限责任公司的情况,
Applicable if the company is an Individual or a Proprietorship,适用于公司是个人或独资企业的情况,
Application of Funds (Assets),资金(资产)申请,
Applied,应用的,
Appointment Confirmation,约定确认,
Appointment Duration (mins),约定持续时间（分钟）,
Appointment Type,预约类型,
Appointment {0} and Sales Invoice {1} cancelled,约定{0}和销售费用清单{1}已取消,
Appointments and Encounters,约会和偶遇,
Appointments and Patient Encounters,预约和患者遭遇,
Appraisal {0} created for Employee {1} in the given date range,员工{1}的限期评估{0}已经创建,
Approving Role cannot be same as role the rule is Applicable To,审批与被审批角色不能相同,
Approving User cannot be same as user the rule is Applicable To,审批与被审批用户不能相同,
"Apps using current key won't be able to access, are you sure?",使用当前密钥的应用程序将无法访问，您确定吗？,
Are you sure you want to cancel this appointment?,你确定要取消这个预约吗？,
Arrear,欠款,
As Examiner,作为考官,
As On Date,截至日期,
As Supervisor,作为主管,
As per rules 42 & 43 of CGST Rules,根据CGST规则第42和43条,
As per section 17(5),根据第17（5）条,
Assessment,评估,
Assessment Criteria,评估标准,
Assessment Group,评估小组,
Assessment Group: ,评估组：,
Assessment Plan,评估计划,
Assessment Plan Name,评估计划名称,
Assessment Report,评估报表,
Assessment Reports,评估报表,
Assessment Result,评价结果,
Assessment Result record {0} already exists.,评估结果记录{0}已经存在。,
Asset,资产,
Asset Category,资产类别,
Asset Category is mandatory for Fixed Asset item,固定资产类的物料其资产类别字段是必填的,
Asset Maintenance,资产维护,
Asset Movement,资产移动,
Asset Movement record {0} created,资产移动记录{0}创建,
Asset Name,资产名称,
Asset Received But Not Billed,在途资产科目（已收到，未开票）,
Asset Value Adjustment,资产价值调整,
"Asset cannot be cancelled, as it is already {0}",资产不能被取消，因为它已经是{0},
Asset scrapped via Journal Entry {0},通过资产手工凭证报废{0},
"Asset {0} cannot be scrapped, as it is already {1}",资产{0}不能被废弃，因为它已经是{1},
Asset {0} does not belong to company {1},资产{0}不属于公司{1},
Asset {0} must be submitted,资产{0}必须提交,
Assets,资产,
Assign To,分配给,
Associate,协理,
At least one mode of payment is required for POS invoice.,需要为POS费用清单定义至少一种付款模式,
Atleast one item should be entered with negative quantity in return document,在退货凭证中至少一个物料的数量应该是负数,
Atleast one of the Selling or Buying must be selected,必须至少选择'销售'或'采购'其中的一项,
Atleast one warehouse is mandatory,必须选择至少一个仓库,
Attach Logo,附加标志,
Attachment,附件,
Attachments,附件,
Attendance can not be marked for future dates,考勤不能选未来的日期,
Attendance date can not be less than employee's joining date,考勤日期不得早于员工入职日期,
Attendance for employee {0} is already marked,员工{0}的考勤已标记,
Attendance has been marked successfully.,考勤登记成功。,
Attendance not submitted for {0} as {1} on leave.,因{1}尚在休假中，{0}的考勤未能提交。,
Attribute table is mandatory,属性表中的信息必填,
Attribute {0} selected multiple times in Attributes Table,属性{0}多次选择在属性表,
Authorized Signatory,授权签字人,
Auto Material Requests Generated,已自动生成材料需求,
Auto Repeat,自动重复,
Auto repeat document updated,自动重复文件更新,
Automotive,汽车,
Available,可用的,
Available Qty,可用数量,
Available Selling,可用销售,
Available for use date is required,需要使用可用日期,
Available slots,可用插槽,
Available {0},可用{0},
Available-for-use Date should be after purchase date,可供使用的日期应在购买日期之后,
Average Age,平均库龄,
Average Rate,平均率,
Avg Daily Outgoing,平均每日出货,
Avg. Buying Price List Rate,平均采购价格清单价格,
Avg. Selling Price List Rate,平均销售价格清单单价,
Avg. Selling Rate,平均卖出价,
BOM,BOM,
BOM Browser,物料清单浏览器,
BOM No,物料清单编号,
BOM Rate,物料清单税率,
BOM Stock Report,物料清单库存报表,
BOM and Manufacturing Quantity are required,物料清单和生产量是必需的,
BOM does not contain any stock item,物料清单不包含任何库存物料,
BOM {0} does not belong to Item {1},物料清单{0}不属于物料{1},
BOM {0} must be active,物料清单{0}必须处于激活状态,
BOM {0} must be submitted,BOM{0}未提交,
Balance,余额,
Balance (Dr - Cr),结余（Dr  -  Cr）,
Balance ({0}),余额（{0}）,
Balance Qty,结余数量,
Balance Sheet,资产负债表,
Balance Value,结余金额,
Balance for Account {0} must always be {1},科目{0}的余额必须是{1},
Bank,银行,
Bank Account,银行科目,
Bank Accounts,银行账户,
Bank Draft,银行汇票,
Bank Name,银行名称,
Bank Overdraft Account,银行透支账户,
Bank Reconciliation,银行对帐,
Bank Reconciliation Statement,银行对帐单,
Bank Statement,银行对帐单,
Bank Statement Settings,银行对账单设置,
Bank Statement balance as per General Ledger,基于总帐的银行对账单余额,
Bank account cannot be named as {0},银行账户不能命名为{0},
Bank/Cash transactions against party or for internal transfer,针对往来单位或内部转帐的银行/现金交易,
Banking,银行业,
Banking and Payments,银行和支付,
Barcode {0} already used in Item {1},条码{0}已被物料{1}使用,
Barcode {0} is not a valid {1} code,条形码{0}不是有效的{1}代码,
Base URL,基本网址,
Based On,基于,
Based On Payment Terms,根据付款条款,
Batch,批次,
Batch Entries,批量条目,
Batch ID is mandatory,批号是必需的,
Batch Inventory,批号库存,
Batch Name,批名,
Batch No,批号,
Batch number is mandatory for Item {0},物料{0}必须指定批次号,
Batch {0} of Item {1} has expired.,物料{1}的批号{0} 已过期。,
Batch {0} of Item {1} is disabled.,项目{1}的批处理{0}已禁用。,
Batch: ,批次：,
Batches,批,
Become a Seller,成为卖家,
Bill,账单,
Bill Date,账单日期,
Bill No,账单编号,
Bill of Materials,材料清单,
Bill of Materials (BOM),物料清单（BOM）,
Billable Hours,可开票时间,
Billed,已开票,
Billed Amount,已开票金额,
Billing Address,帐单地址,
Billing Address is same as Shipping Address,帐单地址与送货地址相同,
Billing Amount,开票金额,
Billing Status,账单状态,
Billing currency must be equal to either default company's currency or party account currency,帐单货币必须等于默认公司的货币或科目币种,
Bills raised by Suppliers.,供应商开出的账单,
Bills raised to Customers.,对客户开出的账单。,
Biotechnology,生物技术,
Black,黑,
Blanket Orders from Costumers.,来自客户的毯子订单。,
Block Invoice,阻止费用清单,
Boms,物料清单,
Both Trial Period Start Date and Trial Period End Date must be set,必须设置试用期开始日期和试用期结束日期,
Both Warehouse must belong to same Company,两个仓库必须属于同一公司,
Branch,分支机构（分公司）,
Broadcasting,广播,
Brokerage,佣金,
Browse BOM,浏览BOM,
Budget Against,预算对象,
Budget List,预算清单,
Budget Variance Report,预算差异报表,
Budget cannot be assigned against Group Account {0},预算不能分派给群组类科目{0},
"Budget cannot be assigned against {0}, as it's not an Income or Expense account",财务预算案不能对{0}指定的，因为它不是一个收入或支出科目,
Buildings,房屋,
Bundle items at time of sale.,用于销售的产品组合。,
Business Development Manager,业务发展经理,
Buy,采购,
Buying,采购,
Buying Amount,采购数量,
Buying Price List,采购价格清单,
Buying Rate,采购价,
"Buying must be checked, if Applicable For is selected as {0}",“适用于”为{0}时必须勾选“采购”,
By {0},到{0},
Bypass credit check at Sales Order ,在销售订单绕过信用检查,
C-Form records,C-表记录,
C-form is not applicable for Invoice: {0},C-形式不适用费用清单：{0},
CEO,CEO,
CESS Amount,CESS金额,
CGST Amount,CGST金额,
CRM,CRM,
CWIP Account,CWIP账户,
Calculated Bank Statement balance,计算的银行对账单余额,
Campaign,促销活动,
Can be approved by {0},可以被{0}的批准,
"Can not filter based on Account, if grouped by Account",按科目分类后不能根据科目过滤,
"Can not filter based on Voucher No, if grouped by Voucher",按凭证分类后不能根据凭证编号过滤,
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}",无法标记出院的住院病历，有未开单的费用清单{0},
Can only make payment against unbilled {0},只能为未开票{0}付款,
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',收取类型类型必须是“基于上一行的金额”或者“前一行的总计”才能引用组,
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method",不能改变估值方法，因为已有业务费用清单使用了没有估值方法的物料,
Can't create standard criteria. Please rename the criteria,无法创建标准条件。请重命名标准,
Cancel,取消,
Cancel Material Visit {0} before cancelling this Warranty Claim,取消此保修要求之前请先取消物料访问{0},
Cancel Material Visits {0} before cancelling this Maintenance Visit,取消此上门保养之前请先取消物料访问{0},
Cancel Subscription,取消订阅,
Cancel the journal entry {0} first,首先取消日记条目{0},
Canceled,取消,
"Cannot Submit, Employees left to mark attendance",无法提交，不能为已离职员工登记考勤,
Cannot be a fixed asset item as Stock Ledger is created.,不能成为库存分类账创建的固定资产项目。,
Cannot cancel because submitted Stock Entry {0} exists,不能取消，因为提交的仓储记录{0}已经存在,
Cannot cancel transaction for Completed Work Order.,无法取消已完成工单的交易。,
Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},无法取消{0} {1}，因为序列号{2}不属于仓库{3},
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,库存交易后不能更改属性。创建一个新项目并将库存转移到新项目,
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,财年保存后便不能更改财年开始日期和结束日期,
Cannot change Service Stop Date for item in row {0},无法更改行{0}中项目的服务停止日期,
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,存货业务发生后不能更改变体物料的属性。需要新建新物料。,
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",因为已有交易不能改变公司的默认货币，请先取消交易。,
Cannot change status as student {0} is linked with student application {1},无法改变状态，因为学生{0}与学生的申请相链接{1},
Cannot convert Cost Center to ledger as it has child nodes,不能将成本中心转换为分类账，因为它有子项。,
Cannot covert to Group because Account Type is selected.,不能转换到组，因为已选择账户类型。,
Cannot create Retention Bonus for left Employees,无法为已离职员工创建持续服务奖,
Cannot create a Delivery Trip from Draft documents.,不能从“草稿”建立“销售出货配送路线安排”,
Cannot deactivate or cancel BOM as it is linked with other BOMs,无法停用或取消BOM，因为它被其他BOM引用。,
"Cannot declare as lost, because Quotation has been made.",已有报价的情况下，不能更改状态为遗失。,
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',分类是“估值”或“估值和总计”的时候不能扣税。,
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',当类是“估值”或“Vaulation和总&#39;不能扣除,
"Cannot delete Serial No {0}, as it is used in stock transactions",无法删除序列号{0}，因为它已被库存活动使用,
Cannot enroll more than {0} students for this student group.,不能注册超过{0}学生到该学生群体。,
Cannot produce more Item {0} than Sales Order quantity {1},不能生产超过销售订单数量{1}的物料{0},
Cannot promote Employee with status Left,状态为已离职的员工不能晋升,
Cannot refer row number greater than or equal to current row number for this Charge type,此收取类型不能引用大于或等于本行的数据。,
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,第一行的“收取类型”不能是“基于上一行的金额”或者“前一行的总计”,
Cannot set as Lost as Sales Order is made.,已有销售订单的情况下，不能更改状态为遗失。,
Cannot set authorization on basis of Discount for {0},不能为{0}设置折扣授权,
Cannot set multiple Item Defaults for a company.,无法为公司设置多个项目默认值。,
Cannot set quantity less than delivered quantity,无法设定数量小于交货数量,
Cannot set quantity less than received quantity,无法设置小于收货数量的数量,
Cannot set the field <b>{0}</b> for copying in variants,无法将字段<b>{0}设置</b>为在变体中进行复制,
Cannot transfer Employee with status Left,状态为已离职的员工不能进行调动,
Cannot {0} {1} {2} without any negative outstanding invoice,没有负的未完成费用清单，无法{0} {1} {2},
Capital Equipments,资本设备,
Capital Stock,股本,
Capital Work in Progress,在途资本,
Cart,购物车,
Cart is Empty,购物车是空的,
Case No(s) already in use. Try from Case No {0},箱号已被使用，请尝试从{0}开始,
Cash,现金,
Cash Flow Statement,现金流量表,
Cash Flow from Financing,融资现金流,
Cash Flow from Investing,投资现金流,
Cash Flow from Operations,运营现金流,
Cash In Hand,现款,
Cash or Bank Account is mandatory for making payment entry,“现金”或“银行账户”是付款分录的必须项,
Cashier Closing,收银员关闭,
Category,类别,
Category Name,分类名称,
Caution,警告,
Central Tax,中央税,
Certification,证明,
Cess,塞斯,
Change Amount,找零,
Change Item Code,更改物料代码,
Change Release Date,更改审批日期,
Change Template Code,更改模板代码,
Changing Customer Group for the selected Customer is not allowed.,不允许更改所选客户的客户组。,
Chapter,章节,
Chapter information.,章节信息。,
Charge of type 'Actual' in row {0} cannot be included in Item Rate,行{0}中的收取类型“实际”不能包含在“物料税率”,
Chargeble,Chargeble,
Charges are updated in Purchase Receipt against each item,费用会在每个物料的采购收货单中更新,
"Charges will be distributed proportionately based on item qty or amount, as per your selection",费用会根据你选择的物料数量和金额按比例分配。,
Chart of Cost Centers,成本中心表,
Check all,全选,
Checkout,退出,
Chemical,化学品,
Cheque,支票,
Cheque/Reference No,支票/参考编号,
Cheques Required,需要的支票,
Cheques and Deposits incorrectly cleared,支票及存款非正常清账,
Child Task exists for this Task. You can not delete this Task.,子任务存在这个任务。你不能删除这个任务。,
Child nodes can be only created under 'Group' type nodes,子节点只可创建在群组类节点下,
Child warehouse exists for this warehouse. You can not delete this warehouse.,子仓库存在于这个仓库。您不能删除这个仓库。,
Circular Reference Error,循环引用错误,
City,城市,
City/Town,市/镇,
Clay,粘土,
Clear filters,清除过滤器,
Clear values,清晰的价值观,
Clearance Date,清帐日期,
Clearance Date not mentioned,请填写清帐日期,
Clearance Date updated,间隙更新日期,
Client,客户,
Client ID,客户端ID,
Client Secret,客户秘密,
Clinical Procedure,临床程序,
Clinical Procedure Template,临床步骤模板,
Close Balance Sheet and book Profit or Loss.,关闭资产负债表，记帐到损益表。,
Close Loan,关闭贷款,
Close the POS,关闭POS,
Closed,已关闭,
Closed order cannot be cancelled. Unclose to cancel.,关闭的定单不能被取消。 打开关闭再取消。,
Closing (Cr),结算(信用),
Closing (Dr),结算(借记),
Closing (Opening + Total),期末（期初+总计）,
Closing Account {0} must be of type Liability / Equity,关闭科目{0}的类型必须是负债/权益,
Closing Balance,结算余额,
Code,代码,
Collapse All,全部收缩,
Color,颜色,
Colour,颜色,
Combined invoice portion must equal 100%,合并费用清单部分必须等于100％,
Commercial,商业,
Commission,佣金,
Commission Rate %,佣金率％,
Commission on Sales,销售佣金,
Commission rate cannot be greater than 100,佣金率不能大于100,
Community Forum,社区论坛,
Company (not Customer or Supplier) master.,公司(非客户或供应商)主数据。,
Company Abbreviation,公司缩写,
Company Abbreviation cannot have more than 5 characters,公司缩写不能超过5个字符,
Company Name,公司名称,
Company Name cannot be Company,公司名称不能为公司,
Company currencies of both the companies should match for Inter Company Transactions.,两家公司的公司货币应该符合Inter公司交易。,
Company is manadatory for company account,公司是公司账户的强制项,
Company name not same,公司名称不一样,
Company {0} does not exist,公司{0}不存在,
Compensatory leave request days not in valid holidays,补休假申请日不是在有效假期内,
Complaint,抱怨,
Completion Date,完成日期,
Computer,电脑,
Condition,条件,
Configure,配置,
Configure {0},配置{0},
Confirmed orders from Customers.,确认客户订单。,
Connect Amazon with ERPNext,将Amazon与ERPNext连接起来,
Connect Shopify with ERPNext,将Shopify与ERPNext连接,
Connect to Quickbooks,连接到Quickbooks,
Connected to QuickBooks,连接到QuickBooks,
Connecting to QuickBooks,连接到QuickBooks,
Consultation,会诊,
Consultations,磋商,
Consulting,咨询,
Consumable,耗材,
Consumed,已消耗,
Consumed Amount,消耗量,
Consumed Qty,已消耗数量,
Consumer Products,消费类产品,
Contact,联系人,
Contact Us,联系我们,
Content,内容,
Content Masters,内容大师,
Content Type,内容类型,
Continue Configuration,继续配置,
Contract,合同,
Contract End Date must be greater than Date of Joining,合同结束日期必须大于加入的日期,
Contribution %,贡献％,
Contribution Amount,贡献金额,
Conversion factor for default Unit of Measure must be 1 in row {0},行{0}中默认计量单位的转换系数必须是1,
Conversion rate cannot be 0 or 1,汇率不能为0或1,
Convert to Group,转换为组,
Convert to Non-Group,转换为非群组,
Cosmetics,化妆品,
Cost Center,成本中心,
Cost Center Number,成本中心编号,
Cost Center and Budgeting,成本中心和预算编制,
Cost Center is required in row {0} in Taxes table for type {1},类型{1}税费表的行{0}必须有成本中心,
Cost Center with existing transactions can not be converted to group,有交易的成本中心不能转化为组,
Cost Center with existing transactions can not be converted to ledger,有交易的成本中心不能转化为总账,
Cost Centers,成本中心,
Cost Updated,成本更新,
Cost as on,成本上,
Cost of Delivered Items,出货物料成本,
Cost of Goods Sold,销货成本,
Cost of Issued Items,已发料物料成本,
Cost of New Purchase,新的采购成本,
Cost of Purchased Items,采购物料成本,
Cost of Scrapped Asset,报废资产成本,
Cost of Sold Asset,出售资产的成本,
Cost of various activities,各种活动的费用,
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",无法自动创建Credit Note，请取消选中&#39;Issue Credit Note&#39;并再次提交,
Could not generate Secret,无法生成秘密,
Could not retrieve information for {0}.,无法检索{0}的信息。,
Could not solve criteria score function for {0}. Make sure the formula is valid.,无法解决{0}的标准分数函数。确保公式有效。,
Could not solve weighted score function. Make sure the formula is valid.,无法解决加权分数函数。确保公式有效。,
Could not submit some Salary Slips,无法提交一些薪资单,
"Could not update stock, invoice contains drop shipping item.",无法更新库存，费用清单包含由供应商交货（直接发运）项目。,
Country wise default Address Templates,国家的默认地址模板,
Course Code: ,课程编号：,
Course Enrollment {0} does not exists,课程注册{0}不存在,
Course Schedule,课程表,
Course: ,课程：,
Cr,信用,
Create,创建,
Create BOM,创建BOM,
Create Delivery Trip,建立销售出货配送路线安排,
Create Employee,创建员工,
Create Employee Records,建立员工档案,
"Create Employee records to manage leaves, expense claims and payroll",建立员工档案管理叶，报销和工资,
Create Fee Schedule,创建收费表,
Create Fees,创造费用,
Create Inter Company Journal Entry,创建国际公司日记帐分录,
Create Invoice,创建发票,
Create Invoices,创建发票,
Create Job Card,创建工作卡,
Create Journal Entry,创建日记帐分录,
Create Lead,创造领导力,
Create Leads,建立潜在客户,
